edges_traj;traj_occ_list;traj_alt_occ_list;traj_supp;traj_freq;traj_exp_ind;traj_var_ind;t_stat_ind;t_stat_norm_ind;pval_ind;traj_exp_perm;traj_var_perm;t_stat_perm;t_stat_norm_perm;pval_perm;traj_exp_topol;traj_var_topol;t_stat_topol;t_stat_norm_topol;pval_topol
[Apoptosis->-DDD,DDD->-Apoptosis,g->-Apoptosis,g->-DDD];[0, 3, 5, 8, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 32, 41, 42, 44, 45, 47, 50, 51, 52, 53, 54, 55, 56, 57, 59, 62, 63, 64, 66, 68, 69, 70, 72, 73, 74, 77, 79, 80, 81, 82, 83, 84, 85, 87, 88];[0, 3, 5, 8, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 27, 32, 41, 42, 44, 45, 47, 50, 51, 52, 53, 54, 55, 56, 57, 59, 62, 63, 64, 66, 68, 69, 70, 72, 73, 74, 77, 79, 80, 81, 82, 83, 84, 85, 87, 88];51;0.5730337078651685;0.3779876238885067;0.001261091002194665;0.1950460839766618;5.492423563752088;3.476215109626864e-10;0.47862493311931514;0.0006115399490604641;0.09440877474585335;3.8176837110420743;4.315124451841152e-05;
[PI3Kamp->-DDD,DDD->-PI3Kamp,g->-PI3Kamp,g->-DDD];[0, 8, 21, 41, 42, 44, 49, 52, 53, 54, 56, 57, 59, 61, 62, 63, 66, 67, 70];[0, 8, 21, 41, 42, 44, 49, 52, 53, 54, 56, 57, 59, 61, 62, 63, 66, 67, 70];19;0.21348314606741572;0.15340648806339016;0.0004359095731439132;0.06007665800402556;2.8774485166144035;0.0012223008196907963;0.18327982878544677;0.00021763883771747138;0.030203317281968955;2.0473233795608867;0.03493743176282862;
[PI3Kamp->-RASamp,RASamp->-PI3Kamp,g->-PI3Kamp,g->-RASamp];[0, 8, 11, 21, 25, 28, 42, 44, 53, 56, 59, 60, 62, 63, 65, 66, 67, 70];[0, 8, 11, 21, 25, 28, 42, 44, 53, 56, 59, 60, 62, 63, 65, 66, 67, 70];18;0.20224719101123595;0.14569801141430358;0.0003736409590669534;0.05654917959693237;2.9254930423791072;0.0007738095238095239;0.17712680577849116;0.0001252440125147395;0.02512038523274479;2.2446457416127013;0.027513227513227517;
[RAS->-DDD,DDD->-RAS,g->-RAS,g->-DDD];[3, 4, 12, 13, 14, 18, 19, 20, 22, 23, 24, 26, 27, 31, 41, 45, 77, 83, 84, 85, 88];[3, 4, 5, 12, 13, 14, 15, 18, 19, 20, 22, 23, 24, 26, 27, 31, 32, 41, 45, 47, 50, 57, 77, 83, 84, 85, 88];21;0.23595505617977527;0.18347626691125887;0.0006869150064610117;0.0524787892685164;2.002314557572764;0.03371175557887225;0.2335473515248796;0.0003903942589534235;0.002407704654895676;0.12185728596723458;0.5655583250188964;
[PI3K->-DDD,DDD->-PI3K,g->-PI3K,g->-DDD];[3, 13, 14, 17, 18, 19, 23, 27, 46, 50, 55, 69, 73, 79, 80, 82, 83, 84, 85, 88];[3, 13, 14, 17, 18, 19, 20, 23, 27, 32, 45, 46, 50, 55, 69, 73, 79, 80, 82, 83, 84, 85, 88];20;0.2247191011235955;0.16589823944559098;0.0005550670199397936;0.058820861678004516;2.4966557862431644;0.008765154962756653;0.20658105939004817;0.0002994966450157894;0.018138041733547328;1.0480799573207458;0.2363658352229782;
[RASamp->-DDD,DDD->-RASamp,g->-RASamp,g->-DDD];[0, 8, 17, 21, 42, 44, 53, 56, 59, 62, 63, 66, 67, 69, 70];[0, 8, 17, 21, 42, 44, 53, 56, 59, 62, 63, 66, 67, 69, 70];15;0.16853932584269662;0.12879949170679508;0.00030469174818189984;0.03973983413590154;2.2766470340204643;0.012936831875607388;0.15278223649010167;0.00010770975056689342;0.015757089352594955;1.5182681713456265;0.16507936507936516;
[RASamp->-DDD,RASamp->-PI3Kamp,DDD->-RASamp,DDD->-PI3Kamp,PI3Kamp->-RASamp,PI3Kamp->-DDD,g->-RASamp,g->-DDD,g->-PI3Kamp];[0, 8, 21, 42, 44, 53, 56, 59, 62, 63, 66, 67, 70];[0, 8, 21, 42, 44, 53, 56, 59, 62, 63, 66, 67, 70];13;0.14606741573033707;0.06917979837065912;0.0003719998438335416;0.07688761735967796;3.9864380930031693;2.226572261557685e-05;0.12243178170144463;0.00010956247793903574;0.023635634028892447;2.2580644517853425;0.034374999999999996;
[NOTCH->-DDD,DDD->-NOTCH,g->-NOTCH,g->-DDD];[14, 27, 44, 45, 50, 53, 54, 56, 57, 62, 68, 70, 72, 74, 82, 83];[3, 14, 27, 44, 45, 46, 50, 51, 53, 54, 56, 57, 62, 68, 70, 72, 74, 82, 83];16;0.1797752808988764;0.1375851932533313;0.0004581882914738155;0.042190087645545105;1.9710082135140758;0.03832007817816864;0.16910112359550564;0.0002632851735147622;0.010674157303370763;0.6578401814597539;0.3830249913016354;
[PI3K->-RAS,RAS->-PI3K,g->-PI3K,g->-RAS];[1, 2, 3, 6, 9, 13, 14, 16, 18, 19, 23, 27, 32, 33, 48, 75, 83, 84, 85, 88];[1, 2, 3, 6, 9, 10, 13, 14, 16, 18, 19, 20, 23, 27, 32, 33, 45, 48, 50, 75, 83, 84, 85, 88];20;0.2247191011235955;0.16671800555428162;0.0005906653533787659;0.058001095569313876;2.386522033421859;0.012424873524190172;0.2127340823970037;0.0003011427185864035;0.0119850187265918;0.6906412812699987;0.35693222474174857;
[PI3K->-Apoptosis,PI3K->-RAS,PI3K->-DDD,Apoptosis->-PI3K,Apoptosis->-RAS,Apoptosis->-DDD,RAS->-Apoptosis,RAS->-PI3K,RAS->-DDD,DDD->-RAS,DDD->-Apoptosis,DDD->-PI3K,g->-PI3K,g->-Apoptosis,g->-RAS,g->-DDD];[3, 14, 18, 19, 23, 27, 83, 84, 85, 88];[3, 13, 14, 18, 19, 20, 23, 27, 32, 45, 50, 83, 84, 85, 88];10;0.11235955056179775;0.021601754317519765;0.00018617565153311813;0.09075779624427799;6.651544497080312;8.687790848362741e-08;0.1005350454788657;8.522080717149882e-05;0.01182450508293205;1.2808850319660687;0.23597883597883595;
